Run ID,Sample,Status,Ca/K,± Ca/K,Mol 39Ar,%40Ar*,Age (Ma),± Age,Group
32752-01A,A15-23B,OK,0.36462,10.78246,5.50E-17,30.6,304.83371,10.35374,1
32752-02A,A15-23B,OK,0.32798,8.21316,4.84E-17,29.4,327.8189,11.22738,1
32752-03A,A15-23B,OK,0.57528,16.15697,1.61E-16,8.4,68.79016,23.68211,1
32752-04A,A15-23B,OK,0.48423,10.72082,1.11E-16,23.1,175.32935,21.17902,1
32752-05A,A15-23B,OK,0.6696,15.02975,8.09E-17,21.6,190.78269,26.16964,1
32752-06A,A15-23B,OK,0.53135,10.81125,8.10E-17,22.5,235.79011,28.69816,1
32752-07A,A15-23B,OK,0.5958,5.98819,2.90E-17,51.5,508.91453,51.0492,1
32752-08A,A15-23B,OK,0.5888,5.22112,1.46E-17,39.9,447.5315,78.70526,1
32753-01A,A15-24B,OK,0.36939,5.97395,2.89E-17,40.1,703.05165,15.93561,2
32753-02A,A15-24B,OK,0.19912,0.96905,1.26E-17,23,367.58595,21.43774,2
32753-03A,A15-24B,OK,0.73817,13.18436,3.47E-17,37.9,483.97241,40.7255,2
32753-04A,A15-24B,OK,0.81495,12.24012,3.28E-17,34.4,513.11136,46.18381,2
32753-05A,A15-24B,OK,0.75079,14.21087,3.55E-17,25.5,629.67859,58.4049,2
32753-06A,A15-24B,OK,0.86399,11.22217,2.02E-17,30.4,893.52165,72.01668,2
32753-07A,A15-24B,OK,0.75299,10.93523,2.57E-17,33,610.7396,55.04706,2
