DataSet/Point,Distance,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O ,Total,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O ,Total,Al2O3,SiO2,K2O,P2O5,CaO,TiO2,MnO,BaO,ThO2,UO2,FeO,Total,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O , X , Y , Z , Beam X , Beam Y ,Comment,Distance (?),Mean Z,Point#,Date
1 / 1 . ,0,0.1081,0.015941,0.00001,0.007493,0.002802,0.00001,0.005084,0.00001,0.00001,0.031578,69.374,20.00622,89.55125,0.160404,0.022724,0.00001,0.009686,0.002799,0.000008,0.003705,0.000003,0.000002,0.005311,49.73396,50.06139,100,0.204255,0.034103,0.000012,0.01717,0.003921,0.000017,0.006565,0.000011,0.000011,0.035823,89.24937,89.55125,107,95,,229,219,,296,,,502,1214,,-16809,-22774,42, , ,H-24B-Profile1,0,19.68605,1,"Monday, April 17, 2023 2:36:50 PM"
1 / 2 . ,2,0.114265,0.022472,0.002358,0.009397,0.00001,0.00001,0.016895,0.00001,0.00001,0.069575,69.21706,19.98455,89.43662,0.169775,0.032076,0.002418,0.012163,0.00001,0.000008,0.012329,0.000003,0.000002,0.011718,49.68664,50.07286,100,0.215904,0.048076,0.002841,0.021533,0.000014,0.000017,0.021815,0.000011,0.000011,0.078929,89.04747,89.43662,108,96,155,237,,,293,,,490,1243,,-16807,-22773.8,42, , ,H-24B-Profile1,2,19.68331,2,"Monday, April 17, 2023 2:42:07 PM"
1 / 3 . ,4,0.112249,0.010054,0.000305,0.001386,0.00001,0.00001,0.013271,0.020273,0.01082,0.052994,69.22421,19.96046,89.40604,0.166923,0.014364,0.000313,0.001795,0.00001,0.000008,0.009692,0.005923,0.001871,0.008933,49.73458,50.05559,100,0.212094,0.021509,0.000367,0.003176,0.000014,0.000017,0.017136,0.022635,0.012313,0.060118,89.05666,89.40604,114,100,156,238,,,294,600,463,494,1231,,-16805,-22773.6,42, , ,H-24B-Profile1,4,19.68456,3,"Monday, April 17, 2023 2:46:55 PM"
1 / 4 . ,6,0.133571,0.026163,0.000305,0.003407,0.004639,0.004896,0.00001,0.013031,0.00001,0.054466,69.57968,20.10135,89.92153,0.197325,0.037131,0.000311,0.004384,0.004613,0.004074,0.000007,0.003782,0.000002,0.009121,49.66155,50.07771,100,0.252381,0.055972,0.000368,0.007806,0.00649,0.008167,0.000013,0.01455,0.000011,0.061788,89.51398,89.92153,111,101,155,225,222,188,,586,,499,1227,,-16803,-22773.4,42, , ,H-24B-Profile1,6,19.77984,4,"Monday, April 17, 2023 2:51:44 PM"
1 / 5 . ,8,0.124577,0.020174,0.00001,0.007765,0.00001,0.005706,0.00001,0.0185,0.00001,0.060793,70.00663,20.21459,90.45877,0.182997,0.02847,0.00001,0.009936,0.00001,0.004722,0.000007,0.005339,0.000002,0.010123,49.68353,50.07486,100,0.235388,0.04316,0.000012,0.017793,0.000014,0.009518,0.000013,0.020655,0.000011,0.068965,90.06325,90.45877,112,98,,225,,189,,587,,509,1258,,-16801,-22773.2,42, , ,H-24B-Profile1,8,19.90663,5,"Monday, April 17, 2023 2:56:33 PM"
1 / 6 . ,10,0.136068,0.024432,0.00153,0.014378,0.000161,0.00001,0.003594,0.02854,0.008831,0.042496,69.26105,20.02214,89.54322,0.201842,0.034818,0.001566,0.018579,0.00016,0.000008,0.002618,0.008318,0.001523,0.007146,49.63767,50.08575,100,0.257099,0.05227,0.001843,0.032946,0.000225,0.000017,0.004641,0.031865,0.010049,0.048209,89.10406,89.54322,110,97,157,237,222,,302,577,445,495,1232,,-16799,-22773,42, , ,H-24B-Profile1,10.01,19.69716,6,"Monday, April 17, 2023 3:01:23 PM"
1 / 7 . ,12,0.054824,0.019515,0.001374,0.007349,0.00541,0.00001,0.00001,0.011815,0.00001,0.049747,69.41884,19.97922,89.54813,0.081434,0.027848,0.001409,0.009509,0.00541,0.000008,0.000007,0.003448,0.000002,0.008376,49.8173,50.04525,100,0.103589,0.04175,0.001655,0.01684,0.00757,0.000017,0.000013,0.013191,0.000011,0.056435,89.30705,89.54813,80,75,154,237,220,,,610,,483,1244,,-16797.1,-22772.8,42, , ,H-24B-Profile1,12.01,19.71194,7,"Monday, April 17, 2023 3:06:12 PM"
1 / 8 . ,14,0.088941,0.015998,0.000382,0.004512,0.00001,0.00001,0.00001,0.0203,0.00001,0.032128,68.92715,19.8573,88.94675,0.13294,0.022972,0.000394,0.005875,0.00001,0.000008,0.000007,0.005961,0.000002,0.005443,49.77463,50.05176,100,0.168054,0.034225,0.00046,0.010339,0.000014,0.000017,0.000013,0.022665,0.000011,0.036447,88.67451,88.94675,97,89,153,230,,,,584,,502,1200,,-16795.1,-22772.6,42, , ,H-24B-Profile1,14.01,19.56514,8,"Monday, April 17, 2023 3:10:59 PM"
1 / 9 . ,16,0.118458,0.00713,0.003058,0.009727,0.00016,0.003836,0.000462,0.010011,0.00001,0.066938,69.45194,20.03731,89.70903,0.175513,0.010149,0.003126,0.012554,0.00016,0.003202,0.000336,0.002914,0.000002,0.011242,49.71599,50.06481,100,0.223825,0.015253,0.003683,0.022288,0.000224,0.006399,0.000596,0.011177,0.000011,0.075937,89.34964,89.70903,101,95,155,233,222,186,304,590,,491,1222,,-16793.1,-22772.4,42, , ,H-24B-Profile1,16.01,19.74712,9,"Monday, April 17, 2023 3:15:47 PM"
1 / 10 . ,18,0.114342,0.014793,0.00001,0.004995,0.00001,0.00001,0.003147,0.00001,0.006626,0.072782,69.55728,20.06452,89.83853,0.169184,0.021027,0.00001,0.006438,0.00001,0.000008,0.002287,0.000003,0.00114,0.012207,49.72337,50.06431,100,0.216049,0.031647,0.000012,0.011445,0.000014,0.000017,0.004064,0.000011,0.00754,0.082566,89.48515,89.83852,105,93,,232,,,298,,464,491,1208,,-16791.1,-22772.2,42, , ,H-24B-Profile1,18.01,19.78146,10,"Monday, April 17, 2023 3:20:35 PM"
