Combined Date/Time,Year,Month,Day,Date,Time,Timestamp,22Ne,22_error,21Ne,21_error,20Ne,20_error,H2_center_bac,AX_center_bac,L2_center_bac,22Ne,21Ne,20Ne
2022-07-29T19:08:58.516824,2022,07,29,7/29/22,19:08:58,7/29/22 19:08,0.5908,0.0011,0.0126,0.0002,4.0142,0.0028,2.386398993,,2.385498993,12.79379343,0.273014336,86.93319223
2022-07-29T23:50:46.474944,2022,07,29,7/29/22,23:50:46,7/29/22 23:50,0.6303,0.0011,0.0146,0.0002,4.3216,0.0031,2.386403501,,2.385553501,12.69126536,0.293987289,87.01474735
2022-08-01T11:27:02.581250,2022,08,01,8/1/22,11:27:02,8/1/22 11:27,0.4869,0.0009,0.0114,0.0001,3.5448,0.0025,2.386502998,,2.385552998,12.04356421,0.282519622,87.67391616
2022-08-02T15:12:01.108442,2022,08,02,8/2/22,15:12:01,8/2/22 15:12,0.4341,0.0011,0.0099,0.0001,3.1661,0.0024,2.386452242,,2.385552242,12.02423667,0.27340798,87.70235536
2022-08-17T11:04:25.582536,2022,08,17,8/17/22,11:04:25,8/17/22 11:04,0.5933,0.0015,0.0094,0.0001,3.1145,0.0028,2.387397229,,2.386497229,15.96152138,0.253342067,83.78513656
2022-08-17T22:42:48.455174,2022,08,17,8/17/22,22:42:48,8/17/22 22:42,0.5426,0.0011,0.0102,0.0001,3.3352,0.0026,2.387296726,,2.386396726,13.95487302,0.262570737,85.78255624
2022-08-17T23:48:42.939008,2022,08,17,8/17/22,23:48:42,8/17/22 23:48,0.5422,0.0011,0.0105,0.0001,3.3293,0.0027,2.387246726,,2.386346726,13.96808932,0.269733617,85.76217706
2022-08-18T00:54:23.025171,2022,08,18,8/18/22,00:54:23,8/18/22 0:54,0.5378,0.0011,0.0104,0.0001,3.3250,0.0026,2.387246726,,2.386346726,13.88408576,0.268109794,85.84780445
2022-08-18T02:00:05.062692,2022,08,18,8/18/22,02:00:05,8/18/22 2:00,0.5382,0.0011,0.0104,0.0001,3.3247,0.0025,2.387246726,,2.386346726,13.89551794,0.268710964,85.83577109
2022-08-18T03:04:48.546715,2022,08,18,8/18/22,03:04:48,8/18/22 3:04,0.5358,0.0011,0.0105,0.0001,3.3181,0.0026,2.387246726,,2.386346726,13.86572331,0.270772885,85.86350381
2022-08-23T15:12:48.644145,2022,08,23,8/23/22,15:12:48,8/23/22 15:12,0.4415,0.0009,0.0099,0.0001,2.8802,0.0032,2.386293451,,2.385293451,13.25228944,0.298081236,86.44962932
2022-12-05T17:10:59.461635,2022,12,05,12/5/22,17:10:59,12/5/22 17:10,0.1281,0.0005,0.0037,0.0001,1.1782,0.0014,2.387890454,,2.386940454,9.781750134,0.282724541,89.93552532
2023-01-20T15:28:12.872492,2023,01,20,1/20/23,15:28:12,1/20/23 15:28,0.1567,0.0005,0.0046,0.0001,1.4456,0.0022,2.387639446,,2.386639446,9.750117828,0.287812488,89.96206968
2023-01-23T17:13:30.658160,2023,01,23,1/23/23,17:13:30,1/23/23 17:13,0.1550,0.0005,0.0045,0.0001,1.5409,0.0017,2.387588187,,2.386588187,9.115528539,0.267555374,90.61691609
2023-01-23T18:21:26.714749,2023,01,23,1/23/23,18:21:26,1/23/23 18:21,0.1561,0.0005,0.0048,0.0001,1.5418,0.0017,2.387588187,,2.386538187,9.169220271,0.280785898,90.54999383
2023-01-23T19:29:19.562148,2023,01,23,1/23/23,19:29:19,1/23/23 19:29,0.1562,0.0005,0.0046,0.0001,1.5417,0.0017,2.387538187,,2.386538187,9.174569856,0.271334482,90.55409566
2023-01-23T20:37:14.647549,2023,01,23,1/23/23,20:37:14,1/23/23 20:37,0.1559,0.0006,0.0045,0.0001,1.5423,0.0018,2.387488187,,2.386488187,9.154949116,0.262441526,90.58260936
2023-01-23T21:45:10.912131,2023,01,23,1/23/23,21:45:10,1/23/23 21:45,0.1556,0.0005,0.0046,0.0001,1.5453,0.0016,2.387538187,,2.386488187,9.12557302,0.26782722,90.60659976
2023-01-25T15:17:28.024429,2023,01,25,1/25/23,15:17:28,1/25/23 15:17,0.1576,0.0005,0.0046,0.0001,1.5571,0.0017,2.387487683,,2.386487683,9.168373641,0.264830091,90.56679627
2023-01-25T16:26:02.362541,2023,01,25,1/25/23,16:26:02,1/25/23 16:26,0.1595,0.0006,0.0046,0.0001,1.5724,0.0017,2.387487431,,2.386437431,9.183171925,0.266147703,90.55068037
2023-01-26T12:40:07.046319,2023,01,26,1/26/23,12:40:07,1/26/23 12:40,0.2406,0.0006,0.0069,0.0001,2.2742,0.0020,2.387587431,,2.386537431,9.539637239,0.271800241,90.18856252
