DataSet/Point,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O ,Total,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O ,Total,Al2O3,SiO2,K2O,P2O5,CaO,TiO2,MnO,BaO,ThO2,UO2,FeO,Total,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O , X , Y , Z , Beam X , Beam Y ,Comment,Distance (?),Mean Z,Point#,Date
1 / 1 . ,8.773339,26.45215,0.002492,0.00001,4.753895,0.00001,0.475105,0.664263,0.764592,0.00001,0.034523,40.17209,82.09248,8.307969,24.06442,0.001628,0.000008,3.030529,0.000005,0.22096,0.123587,0.084191,0.000001,0.015794,64.1509,100,16.57717,56.59103,0.003002,0.000023,6.651649,0.000017,0.613473,0.741655,0.870036,0.000011,0.044413,82.09248,128,177,141,,209,,289,591,404,,484,,6784,24382,25, , ,GlassW, ,10.19674,1,"Monday, April 17, 2023 1:48:36 PM"
2 / 1 . ,8.728652,26.32665,0.018718,0.022382,4.766185,0.00001,0.504628,0.711758,0.704014,0.00001,0.016566,40.02711,81.82668,8.294137,24.03279,0.012274,0.018527,3.048835,0.000005,0.235499,0.132879,0.077788,0.000001,0.007605,64.13965,99.99999,16.49273,56.32254,0.022547,0.051287,6.668846,0.000017,0.651594,0.794682,0.801103,0.000011,0.021312,81.82668,126,175,139,196,212,,278,583,412,,529,,6799,24393,25, , ,GlassW, ,10.14545,2,"Monday, April 17, 2023 1:53:51 PM"
3 / 1 . ,6.970932,23.64966,0.17213,0.115952,8.046686,1.1136,0.162644,0.00001,0.00001,0.00001,9.014612,39.91757,89.16381,6.472229,21.09466,0.110288,0.093781,5.029435,0.582403,0.074164,0.000002,0.000001,0.000001,4.043682,62.49936,100,13.17153,50.59546,0.20735,0.265693,11.25892,1.857548,0.210012,0.000011,0.000011,0.000011,11.59726,89.16382,124,168,138,196,205,195,274,,,,684,,-14491,32381,5, , ,VG2, ,11.69949,3,"Monday, April 17, 2023 1:58:41 PM"
4 / 1 . ,6.99722,23.75945,0.165345,0.101986,8.017281,1.146359,0.156762,0.00001,0.007152,0.00001,9.208588,40.1116,89.67176,6.464678,21.08834,0.10542,0.082079,4.986405,0.596586,0.071131,0.000002,0.000768,0.000001,4.110374,62.49422,100,13.2212,50.83033,0.199177,0.233691,11.21778,1.91219,0.202417,0.000011,0.008138,0.000011,11.84681,89.67175,127,170,139,214,218,198,280,,398,,628,,-14502,32408,5, , ,VG2, ,11.78713,4,"Monday, April 17, 2023 2:03:31 PM"
5 / 1 . ,0.133304,0.048473,0.004401,0.00001,0.00001,0.007328,0.00001,0.00001,0.0117,0.047487,70.40071,20.35714,91.01058,0.194502,0.067946,0.004432,0.000013,0.00001,0.006022,0.000007,0.000003,0.001985,0.007854,49.6278,50.08943,100,0.251877,0.103702,0.005302,0.000023,0.000014,0.012223,0.000013,0.000011,0.013314,0.053871,90.57023,91.01057,105,95,154,,,192,,,475,509,1234,,-16712,-22737,40, , ,24b-1_test4, ,20.01355,5,"Monday, April 17, 2023 2:08:28 PM"
6 / 1 . ,0.029846,0.015168,0.00001,0.008062,0.00001,0.003025,0.00001,0.026316,0.00001,0.041792,69.58342,20.00032,89.70798,0.044276,0.021616,0.00001,0.010418,0.00001,0.002528,0.000007,0.00767,0.000002,0.007028,49.87197,50.03447,100,0.056393,0.032449,0.000012,0.018472,0.000014,0.005045,0.000013,0.029382,0.000011,0.04741,89.51878,89.70798,110,101,,230,,187,,589,,506,1222,,-16668,-22749,40, , ,24b-1_test5, ,19.75279,6,"Monday, April 17, 2023 2:13:19 PM"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
